query,title,abstract,year,authors,venue,citations,url,relevance
"""International Day of Yoga""","The International Yoga Day, political discourse, and soft power game in India","The International Day of Yoga is being celebrated every year on 21 st June since 2015,   21 st June would be celebrated as the International Day of Yoga or World Yoga Day following",2020,['J Samal'],BLDE University Journal of Health Sciences,8,"https://journals.lww.com/blde/fulltext/2020/05020/the_international_yoga_day,_political_discourse,.2.aspx",13
"""International Day of Yoga""",International Yoga Day,"This declaration came after the call for the adoption of June 21 as International Day of Yoga  by  The rst International Day of Yoga was observed on June 21, 2015 by people across the",2016,['GS Pardeshi'],Journal of Krishna Institute of Medical Sciences …,1,"http://www.jkimsu.com/jkimsu-vol5no1/JKIMSU,%20Vol.%205,%20No.%201,%20Jan-March%202016%20Page%201-4.pdf",13
"""International Day of Yoga""","Yoga in India and the International Day of Yoga: An Anthropological Analysis of Lifestyle, Cultural Heritage and Global Co-existence","This research paper analyzes International Yoga Day from an anthropological perspective,  attempting to understand the global rise of yoga in the context of a healthy lifestyle, Indian",2025,"['SK Dwivedi', 'R Patel']",The Asian Man,0,https://indianjournals.com/article/am-19-1and2-026,13
"""International Day of Yoga""",First International Yoga Day was Observed on 21 June 2015,"Long before the UN declaration of June 21 as International Day of Yoga, formal and informal  groups of yoga teachers and enthusiasts had celebrated World Yoga Day on various other",NA,['B Ki-moon'],NA,0,http://gewashington.blogspot.ae/2015/?view=classic,13
"""International Yoga Day""",Politics beyond the yoga mat: Yoga fundamentalism and the 'vedic way of life',The normative idea of ‘yoga’ guides India’s soft power diplomacy on the global stage through  such events as World Yoga Day and International Yoga Day. Prime Minister Modi is fond of,2017,['P McCartney'],Global Ethnographic,35,https://www.researchgate.net/profile/Patrick-Mccartney-2/publication/335749840_Politics_beyond_the_Yoga_Mat_Yoga_Fundamentalism_and_the_'Vedic_Way_of_Life'/links/5d7907c04585151ee4aee0a9/Politics-beyond-the-Yoga-Mat-Yoga-Fundamentalism-and-the-Vedic-Way-of-Life.pdf,7
"""International Yoga Day""","Choreographing Tolerance: Narendra Modi, Hindu Nationalism, and International Yoga Day","consider how Modi’s International Yoga Day has further entrenched the binary of the tolerant  Hindu supremacist state, I focus on the reaction to International Yoga Day specifically from",2020,['A Lakshmi'],Race and Yoga,34,https://escholarship.org/uc/item/4vz5j2cq,7
"""Yoga Day"" India","“Development of Body, Mind, and Soul:” Paramahansa Yogananda's Marketing of Yoga-Based Religion","When leaders of the Indian branch of SRF met with Narendra Modi to thank him for his  efforts to establishing International Yoga Day, they celebrated their Master's global religious",2019,['DJ Neumann'],Religion and American Culture,11,https://www.cambridge.org/core/journals/religion-and-american-culture/article/development-of-body-mind-and-soul-paramahansa-yoganandas-marketing-of-yogabased-religion/87226DBD5D6B3927AEBC195D48569A5C,7
"""International Day of Yoga""",“YOGA FOR PROMOTION OF HEALTH”: CONFERENCE HELD ON INTERNATIONAL DAY OF YOGA-2015 AT KOLAR,"of yoga in physical, mental, social, and spiritual spheres, the 69 th United Nations General  Assembly endorsed the decision to celebrate 21 st June as the International Day of Yoga (IDY)",2015,"['A Bhattacharyya', 'NJ Patil']",Journal of Ayurveda …,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC4719494/,7
"""International Day of Yoga"" soft power","The Indian political right, soft power, and the reimagining of Africa","In 2014, the United Nations General Assembly (UNGA) approved by consensus a resolution  establishing an International Day of Yoga (IDY) to be held each year on 21 June, as a result",2021,['M Venkatachalam'],India's development diplomacy and soft power in …,5,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E9797DD7156B498681326BBE647A0185/stamped-9781800102835c3_p59-78_CBO.pdf/indian_political_right_soft_power_and_the_reimagining_of_africa.pdf,7
"""International Yoga Day""",International yoga day 2016: A call for analysis of one month training program on the health benefits of PM's call for yoga,"On the eve of International Yoga Day on June 21, Indian Prime Minister Sh Narendra Modi  decided to perform yoga along with 35,000 citizens of Chandigarh at its Capitol complex. This",2016,"['A Anand', 'N Sayal']",Annals of Neurosciences,4,https://pmc.ncbi.nlm.nih.gov/articles/PMC5043221/,7
"""International Day of Yoga"" soft power",India: Culture as soft power,"states for the resolution proposing an international day of yoga. Since 2015, International  Yoga Day  Another key part of India’s spiritual soft power project is promotion of ayurveda – the",2020,['DK Thussu'],BRICS Media,4,https://www.taylorfrancis.com/chapters/edit/10.4324/9780429468759-15/india-daya-kishan-thussu,7
"""International Day of Yoga""",Impact assessment of International Day of Yoga: results from a cross-sectional survey,Background: Yoga is now a popular mind–body intervention to maintain health and wellness.  The advent of the International Day of Yoga (IDY) by the United Nations dedicating 21st,2024,"['RR Mohan', 'HS Vadiraja', 'G Moirangthem']",… Indian Journal of …,3,https://journals.lww.com/ijyn/fulltext/2024/01000/impact_assessment_of_international_day_of_yoga_.4.aspx?context=latestarticles,7
"""International Day of Yoga""","'Yoga for Lifestyle Diseases': Conference held on 2nd International Day of Yoga-2016 at Kolar, India",‘Yoga for Lifestyle Diseases’: Conference held on 2nd International Day of Yoga-2016 at   official International recognition by endorsing 21st June as the International Day of Yoga (IDY).,2016,"['NJ Patil', 'PN Venkatarathnamma']",Journal of Ayurveda …,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7272779/,7
"""Yoga Day"" India",Opportunities and challenges of yoga tourism in india,Sep 2014 “YogaYoga is an invaluable gift of India’s ancient tradition. It embodies unity of   Yoga Day. UN declares 21st Jun21st Jun since 2015 become International Yoga Day. The,2021,"['A Dhiraj', 'S Kumar']",Hospitality and tourism emerging practices in …,3,https://www.researchgate.net/profile/Rahul-Chowdhury-5/publication/351287149_Role_of_Industrial_Training_in_Moulding_Future_Hospitality_Professionals/links/60905110a6fdccaebd073c7a/Role-of-Industrial-Training-in-Moulding-Future-Hospitality-Professionals.pdf#page=213,7
"""United Nations"" ""International Day of Yoga""",The Abuse of Yoga and Proposition YSB. Herd Immunity for Troubling Times,capital of its intangible cultural heritage to have the International Day of Yoga (IDY) recognized  and promoted by the United Nations. Yoga is marketed as an important cultural bridge in,2021,"['P McCartney', 'C Miller']",Abuse in Yoga and Beyond. Cultural …,3,https://www.researchgate.net/profile/Patrick-Mccartney-2/publication/351811658_The_Abuse_of_Yoga_and_Proposition_YSB_Herd_Immunity_for_Troubling_Times_-_Sacred_Matters_Magazine/links/60ab5d6f299bf1031fc43c69/The-Abuse-of-Yoga-and-Proposition-YSB-Herd-Immunity-for-Troubling-Times-Sacred-Matters-Magazine.pdf,7
"""International Yoga Day""","Indian PM's International Yoga Day 2016 advocacy: trends, advances and future perspectives",Narendra Modi to role model and advocate Yoga as national health initiative on 2nd  International Yoga Day in Chandigarh inspired the local administration to engage citizens and,2016,"['A Anand', 'S Telles']",Integrative Medicine International,2,https://go.gale.com/ps/i.do?id=GALE%7CA599442102&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=22967362&p=HRCA&sw=w,7
"""International Day of Yoga""","A study on global development, rise and awareness of yoga","International Day of Yoga, or commonly and unofficially referred to as Yoga Day, is  The  idea of International Day of Yoga was first proposed by the current Prime Minister of India, Mr.",2018,"['S Chanda', 'DJ Singh', 'DVN Verma']",International Journal of Yoga …,1,https://www.researchgate.net/profile/Shaybal-Chanda-2/publication/394842870_Impact_Factor_RJIF_524_wwwsportsjournal/links/68a844742c7d3e0029b2c0b7/Impact-Factor-RJIF-524-wwwsportsjournal.pdf,7
"""International Day of Yoga""",The Invaluable Gift of Yoga,"resolution to make June 21 the International Day of Yoga (IDY), a  India’s International Day  of Yoga events set up a particular  India’s International Day of Yoga events set up a particular",2019,['N Cox'],Anthropology News,1,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1111/AN.1184,7
"""International Yoga Day""",Yoga for postoperative convalescence-International yoga day,"“International Yoga Day” stands as the testimonial symbol of the  [ 1 , 2 ] International Yoga  Day, a global celebration is a  , while speaking on 11 th International Yoga Day’ [Figure 1],",2025,"['BB Agarwal', 'N Agarwal', 'K Bhattacharya']",Indian Journal of Colo …,1,https://journals.lww.com/ijcr/fulltext/2025/05000/yoga_for_postoperative_convalescence_.2.aspx?context=latestarticles,7
"""International Yoga Day""",Namaste in the USA: The Growing Pains that Traditional Yoga Faces in America–An International Marketing Case Study,"Significant spikes in yoga occur around June 21, International Yoga Day, as well as around  the holiday season as many people attend classes to get fit for their New Year’s resolutions (",2019,"['CT Wilderman', 'M Sinha']",The Kennesaw …,1,https://digitalcommons.kennesaw.edu/kjur/vol6/iss2/5/,7
"""Yoga Day"" India",Legal Yoga,and the election that carried Narendra Modi and the BJP to power again in India. The institution  of International Yoga Day in 2015 brought with it the effort to have all schools collectively,2020,"['SS Kale', 'CL Novetzke']",The Oxford History of Hinduism: Hindu …,1,https://books.google.com/books?hl=en&lr=&id=4yT3DwAAQBAJ&oi=fnd&pg=PA404&dq=%22Yoga+Day%22+India&ots=gkXYtk-Dau&sig=RY7134iROI1T-zVPRVznVyzMq2M,7
"""United Nations"" ""International Day of Yoga""",Training in Yoga: technical report,"The evidence-based approach to the effectiveness of Yoga is increasing the scope of its  application globally, and with the International Day of Yoga (IDY) being celebrated annually",2025,['World Health Organization'],NA,1,https://books.google.com/books?hl=en&lr=&id=Dm6iEQAAQBAJ&oi=fnd&pg=PR6&dq=%22United+Nations%22+%22International+Day+of+Yoga%22&ots=uTZtfSfw4o&sig=kY6oAjz636E7jpJF97U5L83UYrU,7
"""International Day of Yoga""",Impact of International Day of Yoga and thrust from the Government in bringing Yoga to daily lives of people,"to observe June 21 as “International Day of Yoga,” which was  21 is celebrated every year  as International Day of Yoga (IDY)  inaugurated the first International Day of Yoga on June 21,",2023,"['RM Raghavendra', 'HS Vadiraja']",Journal of Research …,0,https://journals.lww.com/jras/fulltext/2023/07001/research_initiatives_and_network_linkages_in.14.aspx,7
"""International Day of Yoga""","YOGA: A HOLISTIC SCIENCE FOR HEALTH, MIND AND HARMONY","The paper further focuses on the significance of the International Day of Yoga (IDY), celebrated  globally every year on 21st June, following its proposal by Honorable Prime Minister Shri",NA,['DN Gujarkar'],NA,0,https://upa.org.in/adminserver/uploadedImage/reserch/60945.pdf,7
"""International Day of Yoga""",Yoga-based and Mindfulness-based cognitive research: A decade prior and following the announcement of International Day of Yoga,YBMB cognitive research has increased after the announcement of the International Day  of Yoga (IDY). Duration of intervention was increased up to two years after announcement of,NA,"['N Saini', 'K Maity', 'J SHARMA', 'P Sarpal']",Frontiers in Integrative …,0,https://www.frontiersin.org/journals/integrative-neuroscience/articles/10.3389/fnint.2025.1556818/abstract,7
"""International Yoga Day""",The message of international yoga day,The third International Yoga Day is being celebrated globally  message for the first International  Yoga Day had stated that &# for the first and second International Yoga Day celebrations.,2017,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA499324371&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=HRCA&sw=w,7
"""International Yoga Day""",Message from international yoga day,"his message for the first International Yoga Day stated that ""&# parts of the world for  International Yoga Day. Referring to the  [sup]st as the International Yoga Day, the resolution",2015,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA423552678&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=AONE&sw=w,7
"""International Yoga Day""",IDA celebrated International Yoga Day 21st June 2022,This app has an in-built calculator for calculating dosages of drugs for children. It also makes  a prescription ready to share in various ways. PREASY makes prescriptions three times,NA,['SM Abhiyan'],NA,0,https://openurl.ebsco.com/fulltext/gcd:158357118,7
"""International Yoga Day""",Celebration of International Yoga Day,"Till dignitaries and Audience. Prof. Kishor Munshi, then delivered the seminar on “Electric  Vehicle Design-challenges and opportunities”. He said “All should learn from our past 10–12",NA,"['H Patil', 'M Director', 'MA Nashik', 'DGM Mahajan']",NA,0,http://210.212.188.196:8080/jspui/bitstream/123456789/1386/3/May-June_20181.pdf,7
"""International Yoga Day""",India's International Yoga Day was supposed to promote peace and harmony-but it didn't turn out that way,"He used the occasion to propose an International Yoga Day, eventually supported by 177   On June 21, the first International Yoga Day, Modi will share his ""oneness"" experience with",2015,['A Gowen'],The Washington Post,0,https://go.gale.com/ps/i.do?id=GALE%7CA417286543&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=01908286&p=AONE&sw=w,7
"""International Yoga Day""",Speech on District Level Programme on International Yoga Day,"आप सभी को सु भात एवंनम कार! 1. सव थम आप सभी को"" अंतरा य योग दवस"" क हा  दक बधाई और ढेर सार शुभकामनाएँ। 10व अंतरा य योग दवस पर आयोिजत इस योग",2024,['GC Kataria'],NA,0,http://rbassam.digitallibrary.co.in/bitstream/123456789/345/1/21-06-2024___%20Speech%20on%20District%20Level%20Programme%20on%20International%20Yoga%20Day.pdf,7
"""International Yoga Day""","The Yoga Institute, Mumbai: Preserving Classical Yoga While Expanding Globally","Her participation in major events, including sharing the stage with Prime Minister Narendra  Modi on International Yoga Day in 2015, signals governmental recognition of the Institute's",2025,['AA Dojchinovska'],Yoga Science & Spirituality,0,https://www.journals.mk/index.php/yoga/article/view/6617,7
"""International Yoga Day""","Yoga, Wellness, and the Global Market: Tracing the Welfare Economy through Tourism","[3] Government efforts, like promoting International Yoga Day, have further helped this  market grow, highlighting yoga's role as both a cultural treasure and an economic force.",2025,"['V Sahu', 'SR Pedhekar']",Sanatanodaya,0,https://sanatanodaya.com/index.php/dj/article/view/124,7
"""International Yoga Day""",Yoga practice and the preservation of mental health: The global and national perspectives,"Every year, the International Yoga Day is celebrated with a joint program on open city  areas in  A French Tribute to International Yoga Day. Retrieved from https://in.ambafrance.org/A-",2019,['I Tešović'],Социолошки преглед,0,https://www.ceeol.com/search/article-detail?id=770188,7
"""International Yoga Day""",INTERNATIONAL GURU AS LOCAL SWAMI,"International Yoga Day was perhaps inevitable.At once a global and an Indian phenomenon,  International Yoga Day  globe: “On this first International Yoga Day, the time has come to tip",2021,['DJ Neumann'],Religion in Los Angeles: Religious Activism …,0,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003009016-3-5&type=chapterpdf,7
"""International Yoga Day""",The Economic Influence of Cultural Capital: A Study on Yoga And its Market Dynamics,"69/131, UNDP, 2014) to celebrate 21 June as International Yoga Day. The phenomenal  response to the resolution establishes the presence of the interconnection between the global",NA,['S Panday'],NA,0,https://www.researchgate.net/profile/Shruti-Panday/publication/393421231_The_Economic_Influence_of_Cultural_Capital_A_Study_on_Yoga_And_its_Market_Dynamics/links/6868c57592697d42903d41ef/The-Economic-Influence-of-Cultural-Capital-A-Study-on-Yoga-And-its-Market-Dynamics.pdf,7
"""International Day of Yoga"" diplomacy",FITM,"five pillars of India’s diplomacy. This Policy Brief explores the  21 June as the International  Day of Yoga (IDY) given its  Since 2015, International Day of Yoga is being celebrated",NA,['SP Tools'],NA,0,https://fitm.ris.org.in/sites/fitm.ris.org.in/files/Publication/FITM-Policy-Brief_8.pdf,7
"""United Nations"" ""International Day of Yoga""",Peace love yoga: The politics of global spirituality,"Since 2015, for example, the masses have gathered in urban spaces all over the world to  celebrate the International Day of Yoga (see chapter 5), but such gatherings had even started",2020,['AR Jain'],NA,205,https://books.google.com/books?hl=en&lr=&id=nbryDwAAQBAJ&oi=fnd&pg=PP1&dq=%22United+Nations%22+%22International+Day+of+Yoga%22&ots=Db5MCkos75&sig=unhW7Avndwz3Ey03czmRP7CW32Q,6
"""International Day of Yoga"" diplomacy","India's soft power diplomacy under the Modi administration: Buddhism, diaspora and yoga",to declare 21 June as International Day of Yoga. This was a  The International Day of Yoga  will serve to increase India’s  India’s foreign missions celebrated International Day of Yoga by,2018,['A Mazumdar'],Asian Affairs,113,https://www.tandfonline.com/doi/abs/10.1080/03068374.2018.1487696,6
"""International Day of Yoga"" diplomacy",From a latent to a 'strong'soft power? The evolution of India's cultural diplomacy,"He used the occasions such as International Day of Yoga to promote inclusive and pluralistic  identity of India. For example, he celebrated the day in 2015 on the Raj Path, with 35,985",2016,['DA Mahapatra'],Palgrave Communications,60,https://www.nature.com/articles/palcomms201691,6
"""International Day of Yoga""",The transformative impact of the international day of yoga,One hundred ninety-two countries celebrating the first International Day of Yoga in 2015  show its popularity. Though there are no documented estimates for the number of people,2023,['NK Manjunath'],International Journal of Yoga,23,https://journals.lww.com/ijoy/fulltext/2023/16010/The_Transformative_Impact_of_the_International_Day.1.aspx,6
"""International Day of Yoga""","A bridge too far: yoga, spirituality, and contested space in the Pacific Northwest",In 2015 a plan to celebrate the inaugural International Day of Yoga in Vancouver generated  a powerful backlash. What might have been for some a public expression of their interest in,2019,['P Bramadat'],"Religion, State & Society",21,https://www.tandfonline.com/doi/abs/10.1080/09637494.2019.1678977,6
"""International Day of Yoga"" India",Anglophone yoga and meditation outside of India,"prime minister, Narendra Modi, made yoga a key part of India’s exercise of diplomatic soft  power on the global stage, particularly with the creation of the International Day of Yoga in",2020,"['S Newcombe', 'P Deslippe']",Routledge Handbook of Yoga and …,16,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351050753-28/anglophone-yoga-meditation-outside-india-suzanne-newcombe-philip-deslippe,6
"""United Nations"" ""International Day of Yoga""","SDG3, Good Health and Well–Being: Status, Achievement, and Yoga Strategies","In this context, the UNO initiative to celebrate International Day of Yoga was highly beneficial,  responsive, and became a vital part to enhance good health and well-being. The SDG3",2024,"['N Kumar', 'U Singh']",SDGs in the Asia and Pacific Region,12,https://link.springer.com/content/pdf/10.1007/978-3-031-17463-6_21.pdf,6
"""International Day of Yoga""",State spectacles of yoga: invisible India and India everywhere,"Known for a distinctive ‘yoga diplomacy’, Modi has presented world leaders with books on  yoga, successfully initiated the United Nations International Day of Yoga, and helped to make",2023,['S Black'],South Asia: Journal of South Asian Studies,10,https://www.tandfonline.com/doi/abs/10.1080/00856401.2023.2135847,6
"""International Day of Yoga"" soft power",The soft power of India,"This required intense lobbying by the Modi government, gaining the support of 175 member  states at the General Assembly for the resolution proposing an international day of yoga.",2020,['D Thussu'],Lumina,9,https://www.academia.edu/download/72628476/20458.pdf,6
"""International Day of Yoga""",India's use of yoga in diplomacy,"Of course, the International Day of Yoga provides a formalized and regularized platform for  this. Indeed, embassies and consulates consistently utilize the day to host large events which",2025,['L Otto'],The review of faith & international affairs,8,https://www.tandfonline.com/doi/abs/10.1080/15570274.2025.2491265,6
"""International Day of Yoga""",The unintended consequences of International Day of Yoga,"International Day of Yoga is ""yoga diplomacy"" at work. It seeks to alter our perception of  yoga, India, and Hindutva. Even though, for most unsuspecting global yogis, this pledge is",2018,['P McCartney'],Daily O,7,https://www.academia.edu/download/57088000/mccartney_dailyO_The_unintended_consequences_of_International_Day_of_Yoga.pdf,6
"""International Day of Yoga""","The Politics of Yoga: Religious Freedom, Governance and Biopolitics in Contemporary India","the establishment of the Ministry of Ayurveda, Yoga, and Naturopathy, Unani, Siddha and  Homoeopathy (AYUSH) and the promotion of the International Day of Yoga, 2. the government’",2024,['M Di Placido'],Religion Between Governance and Freedoms,6,https://link.springer.com/chapter/10.1007/978-3-031-69880-4_7,6
"""International Day of Yoga"" diplomacy","Public and cultural diplomacy practices: Empirical study of foreign Consulate Generals in Bali, Indonesia","the public to directly participate in the 8th International Day of Yoga, as shown in Figure 5,   An example of this was the celebration of the International Day of Yoga in Denpasar. This",2023,"['AAM Intentilia', 'L Putri']",Multidisciplinary Reviews,6,https://www.researchgate.net/profile/Anak-Agung-Mia-Intentilia-2/publication/375640248_Public_and_cultural_diplomacy_practices_Empirical_study_of_foreign_Consulate_Generals_in_Bali_Indonesia/links/65545888b1398a779d8a16f9/Public-and-cultural-diplomacy-practices-Empirical-study-of-foreign-Consulate-Generals-in-Bali-Indonesia.pdf,6
"""International Day of Yoga"" diplomacy",Cultural confluence: India-EU synergy in public and cultural diplomacy,"In return, India tactically resists cultural homogenization by championing its old traditions—yoga,  Ayurveda, and classical arts—through measures like the International Day of Yoga,",2025,"['A Kaur', 'M Ganguli', 'U Singh']",Discover Global Society,5,https://link.springer.com/article/10.1007/s44282-025-00177-6,6
"""International Day of Yoga""","Mitos, hitos y gritos en la internacionalización del yoga 1/Myths, milestones, and claims: the internationalization of yoga","-being and health, leading to an International Day of Yoga. Nevertheless, there are various   This paper will offer both a brief account of the International Day of Yoga, and a critical view",2016,['A Muñoz'],"'Ilu, Revista de Ciencias de las Religiones",4,https://www.researchgate.net/profile/Adrian-Munoz-2/publication/310749518_Mitos_hitos_y_gritos_en_la_internacionalizacion_del_yoga/links/62dedc7b82bb472992a1d4bc/Mitos-hitos-y-gritos-en-la-internacionalizacion-del-yoga.pdf,6
